State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2,STATE,h1_emissions,c1_emissions,t1_emissions,h2_emissions,c2_emissions,t2_emissions,h1_cost,c1_cost,t1_cost,h2_cost,c2_cost,t2_cost,emissions_comparison,cost_comparison,h1_cop,elec_price,ng_price,ratio_price,grid_emissions
AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1039,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.000233842,0.000346576,0.000580418,0.000243723,0.00032725,0.000570974,0.043461633,0.07352943,0.116991063,0.071116715,0.069429276,0.140545991,0.016541658,-0.16759587,2.86163522,28.83939039,15.43876567,1.867985499,0.129
AL,G0100410,Troy Af,722267,31.87,-86.02,,1041,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.000134636,0.00036719,0.000501827,0.000134399,0.000347864,0.000482263,0.022960863,0.077902927,0.10086379,0.039216625,0.073802773,0.113019398,0.040565904,-0.107553287,3,28.83939039,15.43876567,1.867985499,0.129
AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1043,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.000557467,0.000228314,0.000785781,0.000638394,0.000216898,0.000855293,0.110430816,0.049201849,0.159632665,0.186278967,0.046741756,0.233020724,-0.08127219,-0.314942195,2.95049505,28.83939039,15.43876567,1.867985499,0.127
AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1045,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.000233842,0.000346576,0.000580418,0.000243723,0.00032725,0.000570974,0.043461633,0.07352943,0.116991063,0.071116715,0.069429276,0.140545991,0.016541658,-0.16759587,2.86163522,28.83939039,15.43876567,1.867985499,0.129
AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1047,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.000192614,0.000353018,0.000545632,0.000222159,0.000336269,0.000558428,0.034987981,0.074896148,0.109884129,0.064824495,0.071342681,0.136167176,-0.022914894,-0.19302043,3.25,28.83939039,15.43876567,1.867985499,0.129
AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1049,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.000374816,0.000157283,0.000532099,0.000428271,0.000149673,0.000577943,0.072436055,0.033894607,0.106330662,0.124966408,0.032254545,0.157220954,-0.079323653,-0.323686444,3.022641509,28.83939039,15.43876567,1.867985499,0.127
AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112,1051,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.000264764,0.000440628,0.000705392,0.000283842,0.000420014,0.000703856,0.049475193,0.093483513,0.142958705,0.08282317,0.089110015,0.171933185,0.002181522,-0.168521741,2.928176796,28.83939039,15.43876567,1.867985499,0.129
AL,G0100530,Troy Af,722267,31.87,-86.02,,1053,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.000134636,0.00036719,0.000501827,0.000134399,0.000347864,0.000482263,0.022960863,0.077902927,0.10086379,0.039216625,0.073802773,0.113019398,0.040565904,-0.107553287,3,28.83939039,15.43876567,1.867985499,0.129
AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1055,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.000374816,0.000157283,0.000532099,0.000428271,0.000149673,0.000577943,0.072436055,0.033894607,0.106330662,0.124966408,0.032254545,0.157220954,-0.079323653,-0.323686444,3.022641509,28.83939039,15.43876567,1.867985499,0.127
AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1057,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.000205498,0.00035946,0.000564958,0.000203604,0.000341423,0.000545027,0.03717473,0.076262866,0.113437596,0.05941026,0.072436055,0.131846315,0.036568835,-0.139622552,2.801470588,28.83939039,15.43876567,1.867985499,0.129
AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1059,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.000291735,0.000284124,0.000575859,0.000310923,0.000267635,0.000578558,0.055488752,0.061228968,0.116717719,0.090725027,0.057675501,0.148400528,-0.004664151,-0.213495255,2.857142857,28.83939039,15.43876567,1.867985499,0.127
AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1061,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.000233842,0.000346576,0.000580418,0.000243723,0.00032725,0.000570974,0.043461633,0.07352943,0.116991063,0.071116715,0.069429276,0.140545991,0.016541658,-0.16759587,2.86163522,28.83939039,15.43876567,1.867985499,0.129
AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1063,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.000205498,0.00035946,0.000564958,0.000203604,0.000341423,0.000545027,0.03717473,0.076262866,0.113437596,0.05941026,0.072436055,0.131846315,0.036568835,-0.139622552,2.801470588,28.83939039,15.43876567,1.867985499,0.129
AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1065,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.000205498,0.00035946,0.000564958,0.000203604,0.000341423,0.000545027,0.03717473,0.076262866,0.113437596,0.05941026,0.072436055,0.131846315,0.036568835,-0.139622552,2.801470588,28.83939039,15.43876567,1.867985499,0.129
AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301,1067,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58,AL,0.000129483,0.000462531,0.000592014,0.0001349,0.00043934,0.00057424,0.022140832,0.098130354,0.120271186,0.039362955,0.093210169,0.132573125,0.030951455,-0.092793607,3.111111111,28.83939039,15.43876567,1.867985499,0.129
AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301,1069,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58,AL,0.000129483,0.000462531,0.000592014,0.0001349,0.00043934,0.00057424,0.022140832,0.098130354,0.120271186,0.039362955,0.093210169,0.132573125,0.030951455,-0.092793607,3.111111111,28.83939039,15.43876567,1.867985499,0.129
AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1071,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.000374816,0.000157283,0.000532099,0.000428271,0.000149673,0.000577943,0.072436055,0.033894607,0.106330662,0.124966408,0.032254545,0.157220954,-0.079323653,-0.323686444,3.022641509,28.83939039,15.43876567,1.867985499,0.127
AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1073,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52,AL,0.000256219,0.000306956,0.000563175,0.000277824,0.000290466,0.000568291,0.048108474,0.066149152,0.114257627,0.081067202,0.062595686,0.143662887,-0.009002089,-0.204682371,2.954545455,28.83939039,15.43876567,1.867985499,0.127
MS,G0100750,Columbus Afb,723306,33.65,-88.45,,1075,SRTV,8.47,2.68,0.32,7.1,10.56,3.33,0.11,21.04,0,0,0,0,0,0,0,0,0.295,0,10.04,3.17,0.055,21.21,8.23,7.59,7.21,0,0,0,35.85,18.98,32.93,26.57,AL,0.000380524,0.000422381,0.000802905,0.000380629,0.000402087,0.000782716,0.073256086,0.09102342,0.164279507,0.111064993,0.086649923,0.197714916,0.025793206,-0.169109189,2.649253731,28.83939039,15.43876567,1.867985499,0.127
AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1077,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.000291735,0.000284124,0.000575859,0.000310923,0.000267635,0.000578558,0.055488752,0.061228968,0.116717719,0.090725027,0.057675501,0.148400528,-0.004664151,-0.213495255,2.857142857,28.83939039,15.43876567,1.867985499,0.127
AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1079,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.000291735,0.000284124,0.000575859,0.000310923,0.000267635,0.000578558,0.055488752,0.061228968,0.116717719,0.090725027,0.057675501,0.148400528,-0.004664151,-0.213495255,2.857142857,28.83939039,15.43876567,1.867985499,0.127
AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801,1081,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.000277003,0.000235775,0.000512778,0.000299388,0.000217737,0.000517126,0.051661941,0.05002188,0.101683821,0.087359421,0.046195069,0.133554491,-0.008407527,-0.238634204,2.957671958,28.83939039,15.43876567,1.867985499,0.129
AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1083,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.000557467,0.000228314,0.000785781,0.000638394,0.000216898,0.000855293,0.110430816,0.049201849,0.159632665,0.186278967,0.046741756,0.233020724,-0.08127219,-0.314942195,2.95049505,28.83939039,15.43876567,1.867985499,0.127
AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1085,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.000192614,0.000353018,0.000545632,0.000222159,0.000336269,0.000558428,0.034987981,0.074896148,0.109884129,0.064824495,0.071342681,0.136167176,-0.022914894,-0.19302043,3.25,28.83939039,15.43876567,1.867985499,0.129
AL,G0100870,Auburn Opelika Apt,722284,32.62,-85.43,36801,1087,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.000277003,0.000235775,0.000512778,0.000299388,0.000217737,0.000517126,0.051661941,0.05002188,0.101683821,0.087359421,0.046195069,0.133554491,-0.008407527,-0.238634204,2.957671958,28.83939039,15.43876567,1.867985499,0.129
AL,G0100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1089,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.000557467,0.000228314,0.000785781,0.000638394,0.000216898,0.000855293,0.110430816,0.049201849,0.159632665,0.186278967,0.046741756,0.233020724,-0.08127219,-0.314942195,2.95049505,28.83939039,15.43876567,1.867985499,0.127
MS,G0100910,Meridian Naas,722345,32.55,-88.57,39309,1091,SRSO,4.56,1.44,0.23,4.77,6.92,2.18,0.06,14.09,0,0,0,0,0,0,0,0,0.215,0,6.58,2.08,0.035,14.24,5.5,5.07,4.82,0,0,0,33.33,18.96,31.75,24.03,AL,0.000215161,0.000280868,0.000496029,0.000254254,0.000267984,0.000522239,0.039361479,0.059588906,0.098950385,0.074189659,0.05685547,0.131045129,-0.050187655,-0.244913675,3.3125,28.83939039,15.43876567,1.867985499,0.129
AL,G0100930,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1093,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.000291735,0.000284124,0.000575859,0.000310923,0.000267635,0.000578558,0.055488752,0.061228968,0.116717719,0.090725027,0.057675501,0.148400528,-0.004664151,-0.213495255,2.857142857,28.83939039,15.43876567,1.867985499,0.127
AL,G0100950,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1095,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.000374816,0.000157283,0.000532099,0.000428271,0.000149673,0.000577943,0.072436055,0.033894607,0.106330662,0.124966408,0.032254545,0.157220954,-0.079323653,-0.323686444,3.022641509,28.83939039,15.43876567,1.867985499,0.127
AL,G0100970,Mobile Regional Ap,722230,30.68,-88.25,36608,1097,SRSO,2.19,0.69,0.16,2.06,11.55,3.65,0.03,24.54,0,0,0,0,0,0,0,0,0.16,0,10.92,3.45,0.02,24.75,2.38,2.2,2.09,0,0,0,33.94,18.82,33.03,21.02,AL,0.000109513,0.000470261,0.000579774,0.000110327,0.000444494,0.000554821,0.018860709,0.099770416,0.118631125,0.032192752,0.094303544,0.126496295,0.044975346,-0.062177084,2.985507246,28.83939039,15.43876567,1.867985499,0.129
