Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,0.0572159,,,
,,,,
,,,,
,0.0026158,,,
,,,,
,,,,
,0.0144017,,,
,0.0520445,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0165965,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0228202,,,
,0.0161756,,,
,0.0446182,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0480758,,,
,,,,
,,,,
,,,,
,0.0239026,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.1749444,,0.0485441,,
0.1749444,0.0017438,,,
,0.023181,,,
,,,,
,,,,
,,,,
,,0.1307676,,
,,0.0402973,,
,,,,
,,,,
,0.114071,0.0485848,,
,0.3553518,,,
,0.0494889,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0238124,,,
,,,,
,,,,
,,,,
,0.1267589,,,
,0.1384245,,,
,0.0101323,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0066146,,,
,0.0033073,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0355383,,,
,,,,
,,,,
,,,,
,0.0008419,,,
,0.0129886,,,
,,,,
,,,,
,,,,
,0.0344858,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0007517,,,
0.2216676,0.069092,,,
0.1662507,0.0752555,0.0091224,,
,,,,
0.1265271,,,,
0.1265271,0.0355983,,,
,0.0176188,,,
,,,,
,,,,
,,,,
,,0.0077581,,
,,0.0372226,,
,,0.0459581,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0142814,,,
,,,,
,6.01e-05,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0893566,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0035177,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0013229,,,
,0.001353,,,
,,,,
,,,,
,,0.0143759,,
0.1745876,,,,
0.3055283,,,,
,0.0012327,,,
,,,,
,,,,
,,,,
,,0.025616,,
,,,,
,,,,
,,,,
,,0.0310731,,
,,,,
,,,,
,0.0457006,,,
,0.1764282,0.0763185,,
,0.0128082,,,
,,,,
,0.0034877,,,
,,0.0727754,,
,,,,
,,,,
,,0.0723682,,
,,,,
,0.1779014,,,
,0.0272099,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0120866,,,
,0.0662958,,,
,,,,
,,,,
,0.0453998,,,
,,,,
,,,,
,,,,
0.1390326,,,,
0.1390326,,,,
,0.0197835,,,
,,,,
,0.0198436,,,
,0.0257667,,,
,,,,
,,,,
,0.0221287,,,
,0.008178,,,
,,,,
,,,,
,,,,
,0.032712,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0443476,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0009621,,,
,,,,
,,,,
,,,,
,,,,
0.299242,,,,
0.2244315,,,,
,,,,
,0.017739,,,
,0.2680097,,,
,0.0822911,,,
,,,,
,,,,
,,,0.103891,
,,,0.0440467,
,,,0.043463,
,,,0.1019456,
,,,0.0536187,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0084486,,,
,0.0457607,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0074564,,,
,,,,
,,,,
,0.0981358,,,
,,,,
,,,,
0.4514265,,,,
,,,,
,,,,
,,,,
,0.0096512,,,
,,,,
,,0.0239666,,
,,,,
,,,,
,0.0132592,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0009621,,,
,,,,
,,,,
,,,,
,0.0159351,,,
,,,,
,,,,
,,0.1398492,,
,0.0256764,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0438966,0.0271839,,
,,0.053594,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0098016,,,
,,,,
,,,,
,0.0075767,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.125677,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0015634,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,0.0926848,
,,,0.0825292,
0.0479715,,,0.1221401,
0.1439145,,,0.0949417,
,,,0.104786,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0023752,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0359591,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0057126,,,
,,,,
,,,,
,0.0141912,,,
,,,,
,,,,
,,,,
,,,,
,0.0005412,,,
,0.0033373,,,
,,,,
,0.0147023,,,
,0.1334636,,,
,0.0324414,,,
,0.0098617,,,
,0.0152736,,,
,,,,
,,,,
,,,,
,,,,
,0.0005713,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1174684,,,
,0.0095911,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.036831,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0176187,,,
,0.0236621,,,
,,,,
,,,,
,,,,
,,,,
,0.060433,,,
,0.0607637,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,0.2005415
,,,,0.0401083
,,,,0.1557844
,0.1603128,,,0.2336766
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0378232,,,
,,,,
,,,,
,,,,
,0.0294949,,,
,,,,
0.1301828,,,,
0.1952742,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0156344,,,
,,,,
,0.0429044,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0039988,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0971737,,,
,,,,
,0.0424534,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0547954,,
,,0.0708817,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0868255,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0035779,,,
,,,,
,0.1672581,,,
,0.0115755,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0002105,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0124775,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0046903,,,
,,,,
,,,,
,,,,
,,,,
,0.0003007,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.001834,,,
,0.0405592,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0907998,,,
,0.0018641,,,
,0.0293746,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0929345,,,
,,,,
,,,,
,0.0222188,,,
,,,,
,,,,
,,,,
0.240303,,,,
0.0480606,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0010222,,,
,,,,
,,,,
0.1320777,,,,
,,,,
,,,,
0.2309408,0.0134696,,,
0.1732056,,,,
,0.0253157,,,
,,,,
,,,,
,0.0147625,,,
,,,,
,0.185959,,,
,0.055021,,,
,,,,
,0.0008118,,,
,,,,
,,,,
,,,,
,,,,
,,0.0885563,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0403177,,
,0.0034877,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0524654,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0164161,,,
,0.0920324,,0.0559533,
,,,0.0868482,
,,,0.0429572,
,,,0.0576654,
,,,0.0679377,
,0.047324,,,
,0.0201744,,,
0.2812304,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0031269,,,
,,,,
,,,,
,0.0003007,,,
,,,,
,,,,
,,,,
,0.180036,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0003006,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0638906,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0180698,,,
,,,,
,,,,
,,,,
,0.0064342,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0319002,,,
,,,,
,0.0058629,,,
,0.0822911,,,
,,,,
,,,,
,,,,
,0.0149729,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0038184,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0007216,,,
,,,,
,0.0126879,,,
,,,,
,,,,
,,,,
,0.174083,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0530968,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0044498,,,
,0.0325316,,,
,0.0046903,,,
,,,,
,,,,
,0.0310583,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0262177,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0097715,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1174984,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0028864,,,
,,,,
,,,,
,,,,
,0.0570956,,,
,0.0432952,,,
,0.0924534,,,
0.581587,,,,
0.2326348,,,,
,,,,
,,,,
,0.1021949,,,
,0.0152435,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0347264,,,
,0.0382441,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.245653,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0434155,,,
,,,,
,0.0387854,,,
,0.0260673,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0471738,,,
,0.0049308,,,
,0.0063139,,,
,,,,
,0.0109741,,,
,,,,
,,,,
,,,,
,0.0577872,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0046001,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0681599,,,
0.2137765,0.0123572,,,
0.0305395,,,,
,,,,
0.2773962,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0061335,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.035448,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0191221,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0012928,,,
,0.0497294,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.001383,,,
,0.0009922,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0015634,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0005412,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0763592,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0624313,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0554119,,,
,,,,
,,,,
,,0.076522,,
,0.0007517,,,
,,,,
,,,,
,0.0512326,,,
,0.1622068,,,
,0.0232712,,,
,,0.0531053,,
,,,,
,0.0105833,,,
,,,,
,,,,
,,,,
,,,,
,0.0624174,,,
,,,,
,,,,
,0.047715,,,
,,,,
,,,,
,,,,
,,,,
,0.0229405,,,
,0.0055623,,,
,,,,
,,,,
,,,,
,,,,
,0.0036981,,,
,,,,
,,,,
,,,,
,0.0174384,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0177691,,,
,,,,
,,,,
,0.0454299,,,
,0.0093205,,,
,,,,
,,,,
,,,,
,,,,
0.3042352,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0057426,,,
,,,,
,,,,
,0.087673,,,
,,,,
,,,,
,,,,
,,,,
,0.0112748,,,
,,,,
,0.0201443,,,
,,,,
,,,,
,,,,
,,,,
,3.01e-05,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0002105,,,
,,,,
,0.0382742,,,
,,,,
,0.0228503,,,
,0.1829223,,,
,0.0206855,,,
,,,,
,0.037763,,,
,0.0442574,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0008118,,,
,,,,
,,,,
,,,,
0.1360233,,,,
0.453411,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0921528,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0980156,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0683102,,,
,0.0017138,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0295249,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0104931,,,
,,,,
,,,,
,,,,
,0.0106735,,,
,,,,
,,,,
,0.0006314,,,
,0.0703848,,,
,0.0044799,,,
,,0.0649562,,
,,0.022134,,
,,,,
,,,,
,,,,
,,,,
,0.0030367,,,
,0.0176789,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0003909,,,
,,,,
,,,,
,0.0031269,,,
,,,,
,,,,
,,,,
,,,,
,,0.062696,,
,0.0023151,,,
,0.0214372,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0001203,,,
,,,,
,,,,
,,,,
,,,,
,0.0685508,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0340048,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0065544,,,
,,,,
,,0.1056607,,
,0.0549007,,,
,0.0146723,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0346963,,,
,,,,
,,,,0.2684628
,,,,
,,,,
,,,,
,,,,
,0.0041792,,,
,0.0497895,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.0314088,,,,
0.2512704,,,,
,,,,
0.056041,,,,
0.5384756,,,,
,,,,
,0.046843,,,
0.0759696,,,,
,,,,
,,,,
,0.0493085,,,
,0.1882442,,,
,0.0212267,,,
,,,,
,,,,
,,,,
,,,,
,0.1993985,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0185809,,,
,,,,
,0.0389657,,,
,,,,
,,,,
,,,,0.2907288
,,,,
,0.0168972,,,
,0.0052916,,,
,,,,
,,,,
,0.0007216,,,
,,,,
,,,,
,,,,
,0.0002706,,,
,,,,
,,,,
,0.0030968,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0375891,,
,,,,
,0.1362898,,,
,0.1265786,,,
,,,,
,,,,
,0.0808779,,,
,0.0153939,,,
,,,,
,0.0166566,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.018641,,,
,,,,
,,,,
,,,,
,0.0024354,,,
,0.1089897,,,
,,,,
,,,,
,,,,
,,,,
,0.029104,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1218882,,,
,0.0038485,,,
,,,,
,,,,
,0.0229104,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0676489,,,
,0.004089,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0164762,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0708358,,,
,,,,
,,,,
,,,,
,,,0.097821,
,,,0.0503502,
,0.0048106,,0.0561868,
,,,0.0694942,
0.064601,0.0573662,,0.0849806,
0.323005,0.047715,,,
0.064601,,,,
,,,,
,,,,
,0.1180697,,,
,,,,
,,,,
,,,,
,0.0097414,,,
,0.0321407,,,
,0.0134696,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.011365,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,3.01e-05,,,
,0.1034275,,,
,0.0413409,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0042694,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0002405,,,
,,,,
,,,,
,,,,
,,,,
,0.0556825,,,
,,,,
,,,,
,0.0321708,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1050211,,,
,0.1152436,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0039988,,,
,,,,
,0.0518942,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0027962,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0001503,,,
,,,,
,,,,
,,,,
,,,,
,0.0078172,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0245039,,,
,0.0024654,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0625977,,,
,,,,
,0.0398076,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0903789,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0044799,,,
,,,,
,0.0088394,,,
,,,,
,,,,
,0.0003007,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0001503,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0185809,,,
